"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"era.js","/home/marczinusd/dev/moment/src/lib/units/era.js","2","3","289","-1","0ea9a045-edf8-42f0-a65e-8fdd37c97f3a",""
"offset.js","/home/marczinusd/dev/moment/src/lib/units/offset.js","10","18","249","92.89772727272727","62346c72-4e0c-4753-a1b0-acb1addf6c81",""
"token.js","/home/marczinusd/dev/moment/src/lib/parse/token.js","3","6","36","-1","68bc1a01-8ec0-4d72-8391-84a726e33c0b",""
"regex.js","/home/marczinusd/dev/moment/src/lib/parse/regex.js","5","13","82","-1","74f4f966-ef43-47b1-98ee-3f29cdac557e",""
"is-date.js","/home/marczinusd/dev/moment/src/lib/utils/is-date.js","2","4","6","-1","69e84fde-a03b-4426-b15c-8ff93ef4eb66",""
"defaults.js","/home/marczinusd/dev/moment/src/lib/utils/defaults.js","1","2","10","-1","068c5100-aed1-4ea7-bf86-78b0e668f107",""
"abs-ceil.js","/home/marczinusd/dev/moment/src/lib/utils/abs-ceil.js","1","3","7","-1","b2b22994-52aa-4577-ac12-eb57ab43cc9c",""
"extend.js","/home/marczinusd/dev/moment/src/lib/utils/extend.js","1","3","19","-1","48a33ff9-adcf-4954-9e6c-f70a18012c42",""
"is-object-empty.js","/home/marczinusd/dev/moment/src/lib/utils/is-object-empty.js","2","6","15","-1","2fb675b4-f565-44e4-9a0e-4941911d4c6b",""
"zero-fill.js","/home/marczinusd/dev/moment/src/lib/utils/zero-fill.js","2","4","10","-1","192d514a-7441-4709-85a8-5156819c22b5",""
"is-array.js","/home/marczinusd/dev/moment/src/lib/utils/is-array.js","2","4","6","-1","32208105-9f0f-4278-b44b-d9bc197d1efb",""
"hooks.js","/home/marczinusd/dev/moment/src/lib/utils/hooks.js","1","3","13","-1","b841c855-c552-4010-a437-2770a9153317",""
"is-string.js","/home/marczinusd/dev/moment/src/lib/utils/is-string.js","2","3","3","-1","7a50238d-b826-4458-b62d-bf63fa485d07",""
"is-number.js","/home/marczinusd/dev/moment/src/lib/utils/is-number.js","3","4","6","-1","131d86e2-216d-443f-9c85-b33cabc0b3f2",""
"keys.js","/home/marczinusd/dev/moment/src/lib/utils/keys.js","1","3","20","-1","de2cc3d7-9403-4439-ac4c-d4136820346e",""
"is-function.js","/home/marczinusd/dev/moment/src/lib/utils/is-function.js","3","4","6","-1","a97a707d-802a-4fb5-87c9-7ebb9183ff82",""
"mod.js","/home/marczinusd/dev/moment/src/lib/utils/mod.js","1","2","3","-1","cbdb28a1-b92d-4e21-97c4-de27eb8acf92",""
"is-leap-year.js","/home/marczinusd/dev/moment/src/lib/utils/is-leap-year.js","1","2","3","54.90196078431372","54d34ffb-48f4-4a7e-95e7-5f0a4f6c4260",""
"is-calendar-spec.js","/home/marczinusd/dev/moment/src/lib/utils/is-calendar-spec.js","2","5","25","-1","0987af96-1876-4ef7-bb5a-9a70704fa328",""
"has-own-prop.js","/home/marczinusd/dev/moment/src/lib/utils/has-own-prop.js","1","2","3","-1","c9be131b-9cdb-4de6-862c-efde1b8a61df",""
"deprecate.js","/home/marczinusd/dev/moment/src/lib/utils/deprecate.js","8","16","69","52.38095238095238","3baf78ed-6d40-41a8-b83f-db0eb28bcdd5",""
"is-undefined.js","/home/marczinusd/dev/moment/src/lib/utils/is-undefined.js","1","2","3","-1","881c11f8-f05d-4f1b-ac9e-e9e6ccb919f8",""
"is-object.js","/home/marczinusd/dev/moment/src/lib/utils/is-object.js","1","4","8","-1","e6b4c057-9995-4e2b-ba68-0f0e45afd5f1",""
"compare-arrays.js","/home/marczinusd/dev/moment/src/lib/utils/compare-arrays.js","1","4","18","-1","429f5e71-e18a-4475-be6a-fa434a5f7ead",""
"is-moment-input.js","/home/marczinusd/dev/moment/src/lib/utils/is-moment-input.js","3","6","75","-1","1f121400-37c2-4377-829a-5eddb9c5b654",""
"some.js","/home/marczinusd/dev/moment/src/lib/utils/some.js","2","3","20","-1","ab0620c0-19ce-442f-b8c8-2de8d592bb02",""
"map.js","/home/marczinusd/dev/moment/src/lib/utils/map.js","2","4","9","-1","41067bc1-91ee-4388-b8fc-3be371c09b23",""
"abs-round.js","/home/marczinusd/dev/moment/src/lib/utils/abs-round.js","2","3","7","-1","1569146f-04a1-4e3e-8284-927bc58fb320",""
"index-of.js","/home/marczinusd/dev/moment/src/lib/utils/index-of.js","1","2","18","-1","cfcfc217-17fa-4f6b-9a68-c7cd2ab82813",""
"valid.js","/home/marczinusd/dev/moment/src/lib/moment/valid.js","2","5","15","78.0701754385965","29f1eedd-8dc1-4592-9a96-725347848d6c",""
"ar-sa.js","/home/marczinusd/dev/moment/src/locale/ar-sa.js","5","12","104","100","08ff016e-63bb-4cda-a5e9-5a26e887e2a0",""
"diff.js","/home/marczinusd/dev/moment/src/lib/moment/diff.js","3","10","79","87.14285714285714","bef7d6fe-a479-487b-a169-af570b0bc505",""
