"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"virtual-component.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/recycle-list/virtual-component.js","2","4","136","-1","2144845a-77c7-4f6b-bff1-72c7e8a70124",""
"richtext.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/components/richtext.js","1","7","82","-1","aa02d7ca-0635-44ee-b0e9-547153183e0a",""
"transition-group.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/components/transition-group.js","8","26","190","98.79518072289157","0bf52d00-dcd2-47bb-8ecd-d9c68f295332",""
"transition.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/components/transition.js","10","54","198","100","9853cee0-3dc4-432d-9e9e-59db23c523d2",""
"dom-props.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/modules/dom-props.js","6","34","116","84.44444444444444","1ba0a1be-651c-4536-913c-9b3b88d3ce12",""
"events.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/modules/events.js","6","35","120","100","7680df17-7236-490f-b189-85a189726336",""
"class.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/modules/class.js","1","8","48","100","e9217393-40ab-4413-bd79-81d1dd46e38c",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/modules/index.js","1","3","15","100","54630864-da61-420b-a4de-380c662f1884",""
"attrs.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/modules/attrs.js","5","26","119","100","7c975bdb-277d-4dc1-b37c-333243f4ed45",""
"style.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/modules/style.js","7","28","93","100","a4b8ae6a-1b0b-4c1c-821e-ecd196edc4ea",""
"transition.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/modules/transition.js","6","73","343","100","51b298bc-1c3d-498a-9e2e-b62479877f14",""
"html.js","/home/marczinusd/dev/vue/src/platforms/web/compiler/directives/html.js","3","8","9","100","e5f74d54-2248-4c3b-931c-b73ac086f4b9",""
"model.js","/home/marczinusd/dev/vue/src/platforms/web/compiler/directives/model.js","10","52","175","100","99d1ae1f-eb5e-4662-820b-59da60a86706",""
